pca_component_1,pca_component_2
-0.9592532607781196,-1.3956000314338084
-0.9592525150408336,-1.3956001753893277
-0.959252898264278,-1.3956001564314457
-0.959253052912249,-1.3956001466553054
-0.9592539431423619,-1.395599936974847
-1.0886105956155763,-1.4466865472632264
-1.0886103246049437,-1.4466866278714545
-1.0886107336299078,-1.446686559177234
-1.0886100480370167,-1.446686719211409
-1.0886094494167031,-1.4466868055393647
-1.0886106644469367,-1.446686553205054
-1.0886074797024619,-1.4466870247622077
-1.0886042236410647,-1.4466874906525158
-1.0886012609026048,-1.4466879145730027
-1.088598230283283,-1.4466883810598754
-1.0885958551978412,-1.4466887211595496
-1.0885923663173396,-1.4466891872458927
-1.0885892656263052,-1.4466896366447561
-1.0885836979077292,-1.446690433275601
-1.0885807202052167,-1.446690859374381
-1.0885785946914137,-1.446691157745297
-1.0885725621717803,-1.4466920384134263
-1.0885688947736103,-1.4466925456483926
-1.0885662195822186,-1.4466929284254932
-0.829832674281786,-1.3445226808371284
-0.8298251681610086,-1.3445237521702311
-0.8298143127760037,-1.3445254334571868
-0.8298125341418486,-1.3445255920496546
-0.8298087171587833,-1.3445261695451518
-0.829803983645621,-1.344526859184353
-0.8297959396322236,-1.3445280588526145
-0.8297919303192817,-1.344528642644192
-0.8297892481319802,-1.3445289831677045
-0.8297839294672092,-1.344529807539858
-0.8297814615204648,-1.3445301384758555
-0.8297763473036089,-1.34453091132415
-0.8297736789515552,-1.3445312504916922
-0.8297668709174951,-1.3445324376448637
-0.8297643320334881,-1.3445326326031
-0.8297613593996899,-1.344533044575562
-0.8297565983433747,-1.3445337379233746
-0.8297532646433181,-1.3445342439256167
-0.8297485208879105,-1.34453493460016
-0.829745374984181,-1.344535392580464
-0.8297415526928004,-1.3445359755888777
-0.8297372768127714,-1.3445365516983212
-0.8297333715922319,-1.3445371204116363
-0.8297298512695274,-1.3445376330726688
-0.8297251452466844,-1.3445383184060125
-0.8297203330820488,-1.3445391080809397
-0.829717418054941,-1.3445394815482024
-0.8297138925936496,-1.3445399571184853
-0.8297096925300039,-1.344540605780454
-0.8297054361773298,-1.3445412252184348
-0.8297018468898949,-1.3445417954253884
-0.8296985531236831,-1.344542226750369
-0.8296950463634283,-1.3445427016759182
-0.8296908320443293,-1.3445433154029434
-0.8296875109836601,-1.3445438335319058
-0.8296836100541062,-1.3445444462968166
-0.829679438173478,-1.3445450528549299
-0.829676090140711,-1.3445454622514474
-0.8296724420605984,-1.3445460262906554
-0.8296674554338764,-1.3445467948543002
-0.8296629333144786,-1.3445474524200882
-0.8296608877509853,-1.3445477076272379
-0.8296567429358683,-1.344548351891578
-0.8296535237081537,-1.3445487791771489
-0.8296489385000797,-1.3445495068122828
-0.829646231035962,-1.344549840336177
