N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
-1.0,-0.394204115093082,-0.502958579881657,-0.11727078891258,0.0,0.977115747917653,0.228053395105216
-1.0,-0.394204115093082,-0.50796812749004,-0.11727078891258,0.0,0.9772174239741,0.228241469031302
-1.0,-0.394204115093082,-0.524590163934426,-0.435967302452316,0.0,0.979297690411526,0.227621608832459
-1.0,-0.394204115093082,-0.544086021505376,-0.435967302452316,0.0,0.976283552657995,0.230144230310836
-1.0,-0.422435765564828,-0.552631578947368,-0.11727078891258,0.0,0.975093128454199,0.231387851902454
-1.0,-0.421681324699749,-0.556792873051225,-0.11727078891258,0.0,0.869987618930766,0.373056050788951
-1.0,-0.137782351545108,-0.22875226039783,0.0,0.0,0.17998067610593,0.192565440346182
-1.0,-0.143508408910122,-0.243790248390064,0.0,0.0,0.181905045713623,0.194024921077587
-1.0,-0.19479311548703,-0.252319109461967,0.0,0.0,0.183055947982832,0.19356423976645
-1.0,-0.189638971616865,-0.286785379568885,0.0,0.0,0.184303551603544,0.194134419458674
-1.0,-0.189638971616865,-0.33111954459203,0.0,0.0,0.185472123392197,0.193170163045269
-1.0,-0.203290251921454,-0.359451518119491,0.0,0.0,0.187319363795356,0.192970644461137
-1.0,-0.203290251921454,-0.404950495049505,0.0,0.0,0.189123023503465,0.195507197262526
-1.0,-0.203290251921454,-0.427427427427427,0.0,0.0,0.189987714917966,0.195821697010053
-1.0,-0.203290251921454,-0.44803229061554,0.0,0.0,0.190712425812705,0.197086555317833
-1.0,-0.242527959520903,-0.466188524590164,0.0,0.0,0.191357901690514,0.195353620617082
-1.0,-0.207756270481048,-0.486772486772487,0.0,0.0,0.192734831729084,0.197976909069973
-1.0,-0.22783422099144,-0.501123595505618,0.0,0.0,0.193665101955183,0.196396343412376
-1.0,-0.290085138331146,-0.517814726840855,0.0,0.0,0.195366542972876,0.200193053105522
