street_id,cluster_id_version_a,cluster_id_version_b,is_conflict
12005,-1,10,True
12006,12,11,True
12052,4,2,True
12057,-1,10,True
12058,-1,10,True
12060,10,12,True
12061,4,2,True
12072,12,11,True
12073,4,2,True
12188,4,2,True
12193,-1,10,True
12194,13,11,True
12195,13,12,True
12197,13,10,True
12198,10,12,True
12199,4,2,True
12205,4,2,True
12330,4,2,True
12337,4,2,True
12394,4,2,True
12409,4,2,True
12410,13,12,True
12411,14,10,True
12413,10,12,True
12414,13,11,True
12415,-1,10,True
12416,13,12,True
12418,-1,12,True
12419,10,12,True
12420,14,10,True
12421,13,11,True
12422,10,12,True
12423,-1,10,True
12424,4,2,True
12425,4,2,True
12429,4,2,True
12430,4,2,True
12432,4,2,True
12433,4,2,True
12544,4,2,True
12561,4,2,True
12773,13,12,True
12774,4,2,True
12779,13,11,True
12780,14,10,True
12781,4,2,True
12796,4,2,True
12881,12,11,True
12882,12,11,True
12883,-1,12,True
12890,4,2,True
12958,13,12,True
12987,4,2,True
12988,12,11,True
12989,10,12,True
12990,13,12,True
12991,10,12,True
12992,13,10,True
12993,13,11,True
12994,2,4,True
12995,2,4,True
12996,13,11,True
12997,-1,10,True
12998,13,10,True
12999,4,2,True
13001,4,2,True
13007,4,2,True
13008,13,11,True
13009,4,2,True
13012,13,11,True
13013,4,2,True
13014,4,2,True
13018,4,2,True
13127,13,11,True
13129,4,2,True
13153,10,12,True
13154,13,11,True
13155,4,2,True
13156,4,2,True
13157,4,2,True
13204,13,10,True
13205,4,2,True
13251,4,2,True
13349,10,12,True
13351,4,2,True
13352,13,12,True
13353,13,10,True
13354,4,2,True
13357,-1,10,True
13358,4,2,True
13420,4,2,True
13463,10,12,True
13464,13,10,True
13465,12,11,True
13549,14,10,True
13553,4,2,True
13574,4,2,True
13575,4,2,True
13658,-1,10,True
13659,13,10,True
13707,4,2,True
13708,-1,10,True
13710,12,11,True
13712,10,12,True
13713,10,12,True
13715,12,11,True
13716,13,10,True
13717,-1,10,True
13718,13,12,True
13719,12,11,True
13720,13,12,True
13722,13,11,True
13723,10,12,True
13724,10,12,True
13725,14,10,True
13726,13,12,True
13727,13,12,True
13728,14,10,True
13729,4,2,True
13731,10,12,True
13732,13,12,True
13733,-1,10,True
13734,4,2,True
13736,4,2,True
13737,4,2,True
13738,4,2,True
13866,13,12,True
13867,13,12,True
13868,13,10,True
13869,13,12,True
13870,13,12,True
13871,-1,10,True
13872,10,12,True
13873,12,11,True
13874,14,10,True
13875,12,11,True
13876,12,11,True
13877,13,10,True
13878,12,11,True
13879,10,12,True
13880,13,11,True
13882,14,10,True
13883,14,10,True
13884,4,2,True
13917,13,12,True
13918,12,11,True
14032,4,2,True
14036,4,2,True
14081,13,12,True
14082,13,12,True
14083,10,12,True
14084,-1,10,True
14085,13,11,True
14086,13,12,True
14087,-1,10,True
14088,13,10,True
14089,13,12,True
14092,13,10,True
14093,-1,10,True
14095,12,11,True
14149,12,11,True
14150,13,10,True
14151,10,12,True
14153,12,11,True
14155,12,11,True
14188,4,2,True
14189,4,2,True
14263,10,12,True
14264,4,2,True
14290,4,2,True
14301,10,12,True
14302,10,12,True
14303,4,2,True
14315,4,2,True
14362,12,11,True
14363,14,10,True
14364,13,11,True
14400,4,2,True
14401,13,12,True
14402,-1,10,True
14403,13,11,True
14412,4,2,True
14436,4,2,True
14440,4,2,True
14443,13,11,True
14452,4,2,True
14528,10,12,True
14557,13,12,True
14558,13,10,True
14560,10,12,True
14561,10,12,True
14569,2,4,True
14572,4,2,True
14573,4,2,True
14574,4,2,True
14575,10,12,True
14577,4,2,True
14644,2,4,True
14645,2,4,True
14646,2,4,True
14647,2,4,True
14648,2,4,True
14649,2,4,True
14650,2,4,True
